[2024-12-12T12:15:58.847398+09:00] request.INFO [N/A] [4da24c9] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "homepage". {"route":"homepage","route_parameters":{"_route":"homepage","_controller":"Eccube\\Controller\\TopController::index"},"request_uri":"https://comprime-dev01.com/test_ec/","method":"GET"} [GET, /test_ec/, 49.104.20.217, https://comprime-dev01.com/test_ec/, Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/124.0.6367.111 Mobile/15E148 Safari/604.1]
[2024-12-12T12:15:58.972052+09:00] front.INFO [N/A] [4da24c9] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/, 49.104.20.217, https://comprime-dev01.com/test_ec/, Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/124.0.6367.111 Mobile/15E148 Safari/604.1]
[2024-12-12T12:15:59.031891+09:00] front.WARNING [9d353c1a] [4da24c9] [N/A] [Eccube\Log\Logger:log:66] - Unable to generate a URL for the named route "about" as such route does not exist. {"exception":"[object] (Symfony\\Component\\Routing\\Exception\\RouteNotFoundException(code: 0): Unable to generate a URL for the named route \"about\" as such route does not exist. at /home/xs376496/comprime-dev01.com/public_html/test_ec/vendor/symfony/routing/Generator/CompiledUrlGenerator.php:50)"} [GET, /test_ec/, 49.104.20.217, https://comprime-dev01.com/test_ec/, Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/124.0.6367.111 Mobile/15E148 Safari/604.1]
[2024-12-12T17:43:39.680519+09:00] admin.INFO [b70d0639] [e0f42ee] [1] [Eccube\Log\Logger:log:64] - カテゴリ登録完了 [null] [POST, /test_ec/administrator/product/category, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/product/category, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:43:39.706517+09:00] request.INFO [N/A] [4d0422b] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_product_category". {"route":"admin_product_category","route_parameters":{"_route":"admin_product_category","_controller":"Eccube\\Controller\\Admin\\Product\\CategoryController::index"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/product/category","method":"GET"} [GET, /test_ec/administrator/product/category, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/product/category, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:43:44.629493+09:00] request.INFO [N/A] [bf4d020] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_product_category". {"route":"admin_product_category","route_parameters":{"_route":"admin_product_category","_controller":"Eccube\\Controller\\Admin\\Product\\CategoryController::index"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/product/category","method":"POST"} [POST, /test_ec/administrator/product/category, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/product/category, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:43:44.645119+09:00] admin.INFO [b70d0639] [bf4d020] [1] [Eccube\Log\Logger:log:64] - カテゴリ登録開始 [null] [POST, /test_ec/administrator/product/category, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/product/category, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:43:44.647785+09:00] admin.INFO [b70d0639] [bf4d020] [1] [Eccube\Log\Logger:log:64] - カテゴリ登録完了 [null] [POST, /test_ec/administrator/product/category, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/product/category, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:43:44.672467+09:00] request.INFO [N/A] [61f9208] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_product_category". {"route":"admin_product_category","route_parameters":{"_route":"admin_product_category","_controller":"Eccube\\Controller\\Admin\\Product\\CategoryController::index"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/product/category","method":"GET"} [GET, /test_ec/administrator/product/category, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/product/category, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:43:52.141143+09:00] request.INFO [N/A] [de7bf5f] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_product_category". {"route":"admin_product_category","route_parameters":{"_route":"admin_product_category","_controller":"Eccube\\Controller\\Admin\\Product\\CategoryController::index"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/product/category","method":"POST"} [POST, /test_ec/administrator/product/category, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/product/category, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:43:52.158045+09:00] admin.INFO [b70d0639] [de7bf5f] [1] [Eccube\Log\Logger:log:64] - カテゴリ登録開始 [null] [POST, /test_ec/administrator/product/category, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/product/category, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:43:52.161054+09:00] admin.INFO [b70d0639] [de7bf5f] [1] [Eccube\Log\Logger:log:64] - カテゴリ登録完了 [null] [POST, /test_ec/administrator/product/category, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/product/category, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:43:52.192820+09:00] request.INFO [N/A] [c891d45] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_product_category". {"route":"admin_product_category","route_parameters":{"_route":"admin_product_category","_controller":"Eccube\\Controller\\Admin\\Product\\CategoryController::index"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/product/category","method":"GET"} [GET, /test_ec/administrator/product/category, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/product/category, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:43:55.482376+09:00] request.INFO [N/A] [c841e6d] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_product_category". {"route":"admin_product_category","route_parameters":{"_route":"admin_product_category","_controller":"Eccube\\Controller\\Admin\\Product\\CategoryController::index"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/product/category","method":"POST"} [POST, /test_ec/administrator/product/category, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/product/category, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:43:55.494987+09:00] admin.INFO [b70d0639] [c841e6d] [1] [Eccube\Log\Logger:log:64] - カテゴリ登録開始 [null] [POST, /test_ec/administrator/product/category, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/product/category, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:43:55.497886+09:00] admin.INFO [b70d0639] [c841e6d] [1] [Eccube\Log\Logger:log:64] - カテゴリ登録完了 [null] [POST, /test_ec/administrator/product/category, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/product/category, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:43:55.522426+09:00] request.INFO [N/A] [e50477a] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_product_category". {"route":"admin_product_category","route_parameters":{"_route":"admin_product_category","_controller":"Eccube\\Controller\\Admin\\Product\\CategoryController::index"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/product/category","method":"GET"} [GET, /test_ec/administrator/product/category, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/product/category, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:43:59.581149+09:00] request.INFO [N/A] [187d62e] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_product_category". {"route":"admin_product_category","route_parameters":{"_route":"admin_product_category","_controller":"Eccube\\Controller\\Admin\\Product\\CategoryController::index"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/product/category","method":"POST"} [POST, /test_ec/administrator/product/category, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/product/category, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:43:59.595229+09:00] admin.INFO [b70d0639] [187d62e] [1] [Eccube\Log\Logger:log:64] - カテゴリ登録開始 [null] [POST, /test_ec/administrator/product/category, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/product/category, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:43:59.598183+09:00] admin.INFO [b70d0639] [187d62e] [1] [Eccube\Log\Logger:log:64] - カテゴリ登録完了 [null] [POST, /test_ec/administrator/product/category, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/product/category, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:43:59.623383+09:00] request.INFO [N/A] [35a21fe] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_product_category". {"route":"admin_product_category","route_parameters":{"_route":"admin_product_category","_controller":"Eccube\\Controller\\Admin\\Product\\CategoryController::index"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/product/category","method":"GET"} [GET, /test_ec/administrator/product/category, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/product/category, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:44:08.579033+09:00] request.INFO [N/A] [c06f032] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_product_category". {"route":"admin_product_category","route_parameters":{"_route":"admin_product_category","_controller":"Eccube\\Controller\\Admin\\Product\\CategoryController::index"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/product/category","method":"GET"} [GET, /test_ec/administrator/product/category, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/product/category, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:44:17.632689+09:00] request.INFO [N/A] [052a9c3] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_product". {"route":"admin_product","route_parameters":{"_route":"admin_product","_controller":"Eccube\\Controller\\Admin\\Product\\ProductController::index"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/product","method":"GET"} [GET, /test_ec/administrator/product, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/product/category, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:44:23.401384+09:00] request.INFO [N/A] [493027f] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_product_bulk_product_status". {"route":"admin_product_bulk_product_status","route_parameters":{"_route":"admin_product_bulk_product_status","_controller":"Eccube\\Controller\\Admin\\Product\\ProductController::bulkProductStatus","id":"2"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/product/bulk/product-status/2","method":"POST"} [POST, /test_ec/administrator/product/bulk/product-status/2, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/product, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:44:23.444933+09:00] request.INFO [N/A] [34d27a8] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_product". {"route":"admin_product","route_parameters":{"_route":"admin_product","_controller":"Eccube\\Controller\\Admin\\Product\\ProductController::index"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/product?resume=1","method":"GET"} [GET, /test_ec/administrator/product?resume=1, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/product, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:44:28.999235+09:00] request.INFO [N/A] [4d5aa8d] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "homepage". {"route":"homepage","route_parameters":{"_route":"homepage","_controller":"Eccube\\Controller\\TopController::index"},"request_uri":"https://comprime-dev01.com/test_ec/","method":"GET"} [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:44:29.034760+09:00] front.INFO [b70d0639] [4d5aa8d] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:44:29.051439+09:00] front.WARNING [b70d0639] [4d5aa8d] [N/A] [Eccube\Log\Logger:log:66] - Unable to generate a URL for the named route "about" as such route does not exist. {"exception":"[object] (Symfony\\Component\\Routing\\Exception\\RouteNotFoundException(code: 0): Unable to generate a URL for the named route \"about\" as such route does not exist. at /home/xs376496/comprime-dev01.com/public_html/test_ec/vendor/symfony/routing/Generator/CompiledUrlGenerator.php:50)"} [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:44:44.260472+09:00] request.INFO [N/A] [7ecc824] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_content_block". {"route":"admin_content_block","route_parameters":{"_route":"admin_content_block","_controller":"Eccube\\Controller\\Admin\\Content\\BlockController::index"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/content/block","method":"GET"} [GET, /test_ec/administrator/content/block, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/product?resume=1, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:44:49.041530+09:00] request.INFO [N/A] [dc6233e] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_content_block_edit". {"route":"admin_content_block_edit","route_parameters":{"_route":"admin_content_block_edit","id":"3","_controller":"Eccube\\Controller\\Admin\\Content\\BlockController::edit"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/content/block/3/edit","method":"GET"} [GET, /test_ec/administrator/content/block/3/edit, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/content/block, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:44:55.221405+09:00] request.INFO [N/A] [8b7f61c] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_content_block". {"route":"admin_content_block","route_parameters":{"_route":"admin_content_block","_controller":"Eccube\\Controller\\Admin\\Content\\BlockController::index"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/content/block","method":"GET"} [GET, /test_ec/administrator/content/block, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/content/block/3/edit, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:45:10.673789+09:00] request.INFO [N/A] [d7021e4] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_content_layout". {"route":"admin_content_layout","route_parameters":{"_route":"admin_content_layout","_controller":"Eccube\\Controller\\Admin\\Content\\LayoutController::index"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/content/layout","method":"GET"} [GET, /test_ec/administrator/content/layout, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/content/block, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:45:12.504766+09:00] request.INFO [N/A] [449eae4] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_content_block". {"route":"admin_content_block","route_parameters":{"_route":"admin_content_block","_controller":"Eccube\\Controller\\Admin\\Content\\BlockController::index"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/content/block","method":"GET"} [GET, /test_ec/administrator/content/block, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/content/layout, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:45:15.041661+09:00] request.INFO [N/A] [dd7994d] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_content_block_edit". {"route":"admin_content_block_edit","route_parameters":{"_route":"admin_content_block_edit","id":"3","_controller":"Eccube\\Controller\\Admin\\Content\\BlockController::edit"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/content/block/3/edit","method":"GET"} [GET, /test_ec/administrator/content/block/3/edit, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/content/block, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:45:20.615311+09:00] request.INFO [N/A] [b428eef] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_content_block". {"route":"admin_content_block","route_parameters":{"_route":"admin_content_block","_controller":"Eccube\\Controller\\Admin\\Content\\BlockController::index"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/content/block","method":"GET"} [GET, /test_ec/administrator/content/block, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/content/block/3/edit, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:45:21.653900+09:00] request.INFO [N/A] [4aeb9f0] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_content_block_new". {"route":"admin_content_block_new","route_parameters":{"_route":"admin_content_block_new","_controller":"Eccube\\Controller\\Admin\\Content\\BlockController::edit"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/content/block/new","method":"GET"} [GET, /test_ec/administrator/content/block/new, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/content/block, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:45:34.242785+09:00] request.INFO [N/A] [b157d3f] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_content_block_new". {"route":"admin_content_block_new","route_parameters":{"_route":"admin_content_block_new","_controller":"Eccube\\Controller\\Admin\\Content\\BlockController::edit"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/content/block/new","method":"POST"} [POST, /test_ec/administrator/content/block/new, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/content/block/new, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:45:34.300990+09:00] request.INFO [N/A] [2f457b7] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_content_block_edit". {"route":"admin_content_block_edit","route_parameters":{"_route":"admin_content_block_edit","id":"28","_controller":"Eccube\\Controller\\Admin\\Content\\BlockController::edit"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/content/block/28/edit","method":"GET"} [GET, /test_ec/administrator/content/block/28/edit, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/content/block/new, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:45:35.286259+09:00] request.INFO [N/A] [1ba2650] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_content_layout". {"route":"admin_content_layout","route_parameters":{"_route":"admin_content_layout","_controller":"Eccube\\Controller\\Admin\\Content\\LayoutController::index"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/content/layout","method":"GET"} [GET, /test_ec/administrator/content/layout, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/content/block/28/edit, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:45:36.256404+09:00] request.INFO [N/A] [51f7312] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_content_layout_edit". {"route":"admin_content_layout_edit","route_parameters":{"_route":"admin_content_layout_edit","id":"1","_controller":"Eccube\\Controller\\Admin\\Content\\LayoutController::edit"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/content/layout/1/edit","method":"GET"} [GET, /test_ec/administrator/content/layout/1/edit, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/content/layout, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:45:54.486404+09:00] request.INFO [N/A] [b98945f] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_content_layout_edit". {"route":"admin_content_layout_edit","route_parameters":{"_route":"admin_content_layout_edit","id":"1","_controller":"Eccube\\Controller\\Admin\\Content\\LayoutController::edit"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/content/layout/1/edit","method":"POST"} [POST, /test_ec/administrator/content/layout/1/edit, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/content/layout/1/edit, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:45:54.547519+09:00] request.INFO [N/A] [de5896e] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_content_layout_edit". {"route":"admin_content_layout_edit","route_parameters":{"_route":"admin_content_layout_edit","id":"1","_controller":"Eccube\\Controller\\Admin\\Content\\LayoutController::edit"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/content/layout/1/edit","method":"GET"} [GET, /test_ec/administrator/content/layout/1/edit, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/content/layout/1/edit, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:45:55.849814+09:00] request.INFO [N/A] [4844cfe] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_content_layout". {"route":"admin_content_layout","route_parameters":{"_route":"admin_content_layout","_controller":"Eccube\\Controller\\Admin\\Content\\LayoutController::index"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/content/layout","method":"GET"} [GET, /test_ec/administrator/content/layout, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/content/layout/1/edit, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:45:56.935679+09:00] request.INFO [N/A] [ed607db] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_content_block". {"route":"admin_content_block","route_parameters":{"_route":"admin_content_block","_controller":"Eccube\\Controller\\Admin\\Content\\BlockController::index"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/content/block","method":"GET"} [GET, /test_ec/administrator/content/block, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/content/layout, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:46:01.472580+09:00] request.INFO [N/A] [3fa5aee] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_content_block_edit". {"route":"admin_content_block_edit","route_parameters":{"_route":"admin_content_block_edit","id":"2","_controller":"Eccube\\Controller\\Admin\\Content\\BlockController::edit"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/content/block/2/edit","method":"GET"} [GET, /test_ec/administrator/content/block/2/edit, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/content/block, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:46:08.597797+09:00] request.INFO [N/A] [e5f88bf] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "homepage". {"route":"homepage","route_parameters":{"_route":"homepage","_controller":"Eccube\\Controller\\TopController::index"},"request_uri":"https://comprime-dev01.com/test_ec/","method":"GET"} [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
